name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,creative_role 8,creative_role 9,creative_role 10,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,comic_titles 13,comic_titles 14,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image
Baba Dawud Anyabwile (Dave Sims),Male,African American,,,,,,,,,,,,,,,,,Creator of Brotherman,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Brandon-Croft,Female,African American,,,,,1958,,Creator,,,,,,,,,,Where I'm Coming From,,,,,,,,,,,,,,Strip,,,,,,,,http://en.wikipedia.org/wiki/Barbara_Brandon-Croft,,,
Belasco Comix,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.belasco-comix.com/,,,
Beldan Sezen,Female,Turkish-German,,,,,1967,,Creator, Writer, Artist,,,,,,,,Zakkum, #GeziPark, Sulla Mia Pelle, Snapshots of a Girl, To Separate the Body from the Machine,,,,,,,,,,Indie,,,,,,,,http://beldansezen.com/,http://eggsworld.wordpress.com/,https://twitter.com/BeldanSezen,https://static1.squarespace.com/static/502274d9e4b03bd70ef2bc16/t/54edc814e4b032e808a5d094/1424869397522/SnapshotsOfAGirl_coverSample.jpg?format=750w
Belle Yang,Female,Taiwanese American,,,,,,,,,,,,,,,,,Forget Sorrow,,,,,,,,,,,,,,Indie,,,,,,,,http://www.belleyang.com/,,,
Ben Oda,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Passmore,Male,half-black half-white,,,,,1983,,cartoonist,,,,,,,,,,DAYGLOAYHOLE 1,DAYGLOAYHOLE 2, A Pantomime Horse 1,A Pantomime Horse 2: A Pantomime Horse 3, REBOOT, Look Who's Fuggin Miserable, The Gospel Of Tug Benson,,,,,,,,Indie,,,,,,,,http://www.daygloayhole.tumblr.com,http://www.tugospel.com,,
Ben X. Trinh,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.kingbennie.com/,,,
Bernard Chang,Male,Asian American,,,,,,,Artist,,,,,,,,,,Wonder Woman, DC Comics Presents, Green Lantern Corps, Doctor Mirage, Secret Identities, Shattered,,,,,,,,,Mainstream,,,,,,,,http://www.bernardchang.com,,http://twitter.com/thebernardchang,
Bernie Hou,Male,Taiwanese-American,,,,,1974,,Creator, Writer, Artist,,,,,,,,Alien Loves Predator,,,,,,,,,,,,,,Webcomic, Humor,,,,,,,http://alienlovespredator.com,http://facebook.com/alienlovespred,http://twitter.com/bernieh,
